LLM File,Program,KQuery File,Similarity (%)
result3.txt,81,test000001.kquery,4.07
result3.txt,81,test000002.kquery,6.50
result3.txt,81,test000003.kquery,2.33
result3.txt,81,test000004.kquery,2.33
result3.txt,81,test000005.kquery,0.55
result4.txt,94,test000001.kquery,1.58
result4.txt,94,test000002.kquery,2.05
result4.txt,94,test000003.kquery,2.25
result4.txt,94,test000004.kquery,2.45
result4.txt,94,test000005.kquery,2.65
result4.txt,94,test000006.kquery,2.85
result4.txt,94,test000007.kquery,3.04
result4.txt,94,test000008.kquery,3.24
result4.txt,94,test000009.kquery,3.44
result4.txt,94,test000010.kquery,1.18
result4.txt,94,test000011.kquery,1.18
result4.txt,94,test000012.kquery,1.18
result4.txt,94,test000013.kquery,1.18
result4.txt,94,test000014.kquery,1.18
result4.txt,94,test000015.kquery,1.17
result4.txt,94,test000016.kquery,1.17
result4.txt,94,test000017.kquery,1.17
result4.txt,94,test000018.kquery,1.17
result4.txt,94,test000019.kquery,1.17
result4.txt,94,test000020.kquery,1.17
result4.txt,94,test000021.kquery,1.17
result4.txt,94,test000022.kquery,1.26
result4.txt,95,test000001.kquery,1.58
result4.txt,95,test000002.kquery,1.36
result4.txt,95,test000003.kquery,1.96
result.txt,82,test000001.kquery,0.41
result.txt,82,test000002.kquery,0.77
result.txt,82,test000003.kquery,0.24
result.txt,82,test000004.kquery,0.16
result.txt,82,test000005.kquery,1.42
result.txt,82,test000006.kquery,0.86
result.txt,82,test000007.kquery,0.82
result.txt,82,test000008.kquery,0.76
result.txt,82,test000009.kquery,0.78
result.txt,82,test000010.kquery,0.82
result.txt,82,test000011.kquery,0.76
result.txt,82,test000012.kquery,0.61
result.txt,82,test000013.kquery,0.76
result.txt,82,test000014.kquery,0.76
result.txt,82,test000015.kquery,0.76
result.txt,82,test000016.kquery,0.76
result.txt,82,test000017.kquery,0.76
result.txt,82,test000018.kquery,0.76
result.txt,82,test000019.kquery,0.76
result.txt,82,test000020.kquery,0.76
